Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-0.26714,-0.017182,-0.031475,0,0,0,0.27193,9.774E-05,1.3884E-08,1.8597E-08,0.00047337,-5.2358E-12,0.00041659,0,0,0,0,0,0,package://STEP/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://STEP/meshes/base_link.STL,,STEP1-1/JXS-01-04-1;STEP1-1/JXS-01-03-1;STEP1-1/JXS-01-01-1;DM_4340__3D20240822_1_2_1__ASM__ASM-2.STEP-1-1,Origin_global,,,,0,0,0,0,0,0,,0,0,0,,,,,,,,,,,,
link1,-0.0025304,-0.013278,0.0040932,0,0,0,0.036807,1.0242E-05,8.0794E-09,-4.5173E-09,9.7905E-06,2.2502E-06,1.0814E-05,0,0,0,0,0,0,package://STEP/meshes/link1.STL,1,1,1,1,0,0,0,0,0,0,package://STEP/meshes/link1.STL,,STEP2-1/JXS-02-02-02-2;STEP2-1/JXS-02-02-03-1;STEP2-1/JXS-02-02-00-1;STEP2-1/JXS-02-02-01-1,坐标系2,基准轴1,1,revolute,-0.2671,-0.0703,-0.031475,3.1416,-1.5708,0,base_link,0,1,0,0,0,0,6.2832,,,,,,,,
link2,0.13182,-0.028381,2.0955E-15,0,0,0,0.71932,0.00017522,2.8279E-18,-3.7565E-08,0.00098649,3.5155E-19,0.00095848,0,0,0,0,0,0,package://STEP/meshes/link2.STL,0.7451,0.7451,0.7451,1,0,0,0,0,0,0,package://STEP/meshes/link2.STL,,STEP2-1/JXS-02-09 ______.STEP-1-2;STEP2-1/B6704ZZ.STEP-1-2;STEP2-1/DM_4340__3D20240822_1_2_1__ASM__ASM-2.STEP-1-1;STEP2-1/JXS-02-05-1;STEP2-1/JXS-02-07-3;STEP2-1/JXS02-01-1/JXS-02-01-4;STEP2-1/JXS02-01-1/JXS-02-06-2;STEP2-1/JXS02-01-1/JXS-02-01-3;STEP2-1/JXS02-01-1/JXS-02-06-1;STEP2-1/JXS-02-07-1;STEP2-1/JXS-02-09 ______.STEP-1-1;STEP2-1/JXS-02-05-2;STEP2-1/DM_4340__3D20240822_1_2_1__ASM__ASM-2.STEP-1-2,坐标系3,基准轴2,2,revolute,0.02987,-0.045409,0.019,1.5708,-1.5708,0,link1,0,1,0,0,0,0,3.6652,,,,,,,,
link3,-0.035393,0.12109,-0.043695,0,0,0,0.59366,0.00094997,1.3195E-06,1.0485E-07,0.00016848,-7.8362E-05,0.00089359,0,0,0,0,0,0,package://STEP/meshes/link3.STL,0.7451,0.7451,0.7451,1,0,0,0,0,0,0,package://STEP/meshes/link3.STL,,STEP2-1/B6704ZZ.STEP-1-1;STEP3-1/JXS-03-01-00-1;STEP3-1/JXS-03-01-1;STEP3-1/JXS-02-02-02-1;STEP3-1/JXS-03-03-1;STEP3-1/JXS-03-02-1;STEP3-1/JXS02-01-1/JXS-02-01-3;STEP3-1/JXS02-01-1/JXS-02-06-1;STEP3-1/JXS02-01-1/JXS-02-06-2;STEP3-1/JXS02-01-1/JXS-02-01-4;STEP4-1/JXS-04-03-2;STEP4-1/DM-J4310-2EC-V1_1__3D_20240822__ASM.STEP-1-2;STEP4-1/JXS-04-02-1;STEP4-1/JXS-04-01 ____4____.STEP-1-1,坐标系4,基准轴3,3,revolute,0.264,0.00763,0,-0.11394,0,1.5708,link2,1,0,0,0,0,0,3.1416,,,,,,,,
link4,-0.060694,0.050362,-0.036159,0,0,0,0.15929,4.8974E-05,-2.9447E-10,-3.277E-08,6.1775E-05,6.849E-08,4.529E-05,0,0,0,0,0,0,package://STEP/meshes/link4.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://STEP/meshes/link4.STL,,STEP5-1/JXS-05-04-1;STEP4-1/B6704ZZ.STEP-1-1;STEP5-1/JXS-05-02-1;STEP5-1/JXS-05-01-2;STEP5-1/JXS-02-02-02-1;STEP5-1/JXS-05-03-1;STEP5-1/DM-J4310-2EC-V1_1__3D_20240822__ASM.STEP-1-2,坐标系5,基准轴4,4,revolute,-0.0015,0.2289,-0.034448,-1.5708,0.11394,-1.5708,link3,0,0,1,0,0,-1.5708,1.5708,,,,,,,,
link5,-1.2807E-05,-0.034473,0.01439,0,0,0,0.13379,3.7178E-05,2.7193E-08,6.849E-08,3.75E-05,2.9447E-10,5.1759E-05,0,0,0,0,0,0,package://STEP/meshes/link5.STL,1,1,1,1,0,0,0,0,0,0,package://STEP/meshes/link5.STL,,STEP6-1/JXS-02-02-02-1;STEP6-1/JXS-05-01-1;STEP6-1/DM-J4310-2EC-V1_1__3D_20240822__ASM.STEP-1-2;STEP6-1/JXS-05-03-1,坐标系6,基准轴5,5,revolute,-0.075,0.0385,-0.0345,3.1416,-1.5708,0,link4,0,1,0,0,0,-1.5708,1.5708,,,,,,,,
link6,-3.4881E-05,-0.014495,-0.043155,0,0,0,0.33362,0.00020137,-9.5443E-08,-6.8488E-08,0.00016983,-3.2415E-06,0.00025638,0,0,0,0,0,0,package://STEP/meshes/link6.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://STEP/meshes/link6.STL,,GRIP-1/JXS-07-08-1;GRIP-1/JXS-07-09-1;GRIP-1/DM-J4310-2EC-V1_1__3D_20240822__ASM.STEP-1-1;GRIP-1/球拉杆40mm-3;GRIP-1/JXS-07-00-r-1;GRIP-1/JXS-07-07-1;GRIP-1/JXS-07-06-1;GRIP-1/球拉杆40mm-1;GRIP-1/JXS-07-07-2;GRIP-1/JXS-07-06-2;GRIP-1/手部手持-1;GRIP-1/JXS-07-05-1;GRIP-1/手持r-1;GRIP-1/手持-l-1;GRIP-1/JXS-07-00-l-1;GRIP-1/JXS-07-03-1,坐标系7,基准轴6,6,continuous,0,-0.04,0.0565,3.1416,0,-3.1416,link5,0,0,1,0,0,-1.5708,1.5708,,,,,,,,
