Link Name,Center of Mass X,Center of Mass Y,Center of Mass Z,Center of Mass Roll,Center of Mass Pitch,Center of Mass Yaw,Mass,Moment Ixx,Moment Ixy,Moment Ixz,Moment Iyy,Moment Iyz,Moment Izz,Visual X,Visual Y,Visual Z,Visual Roll,Visual Pitch,Visual Yaw,Mesh Filename,Color Red,Color Green,Color Blue,Color Alpha,Collision X,Collision Y,Collision Z,Collision Roll,Collision Pitch,Collision Yaw,Collision Mesh Filename,Material Name,SW Components,Coordinate System,Axis Name,Joint Name,Joint Type,Joint Origin X,Joint Origin Y,Joint Origin Z,Joint Origin Roll,Joint Origin Pitch,Joint Origin Yaw,Parent,Joint Axis X,Joint Axis Y,Joint Axis Z,Limit Effort,Limit Velocity,Limit Lower,Limit Upper,Calibration rising,Calibration falling,Dynamics Damping,Dynamics Friction,Safety Soft Upper,Safety Soft Lower,Safety K Position,Safety K Velocity
base_link,-4.4161E-05,5.3119E-09,0.017678,0,0,0,0.26113,9.6033E-05,1.8597E-08,-1.3884E-08,0.00041488,5.2358E-12,0.00047014,0,0,0,0,0,0,package://sii_arm/meshes/base_link.STL,0.75294,0.75294,0.75294,1,0,0,0,0,0,0,package://sii_arm/meshes/base_link.STL,,STEP1-1/JXS-01-03-1;STEP1-1/JXS-01-01-1;DM_4340__3D20240822_1_2_1__ASM__ASM-2.STEP-1-1,Origin_global,?????????6,joint6,revolute,0,0,0,0,1.5708,0,link5,0,0,-1,0,0,-6.28,6.28,,,,,,,,
link1,0.00707859698669122,-0.00434330957019007,0.026713005518239,0,0,0,0.0460241351239823,1.25374082996922E-05,2.35360826477428E-20,-2.85347898906561E-06,1.28839283702013E-05,1.22941709166716E-20,1.07726251285965E-05,0,0,0,0,0,0,package://sii_arm/meshes/link1.STL,1,1,1,1,0,0,0,0,0,0,package://sii_arm/meshes/link1.STL,,STEP2-1/JXS-02-02-1/JXS-02-02-02-1;STEP2-1/JXS-02-02-1/JXS-02-02-00-1;STEP2-1/JXS-02-02-1/JXS-02-02-01-2;STEP2-1/JXS-02-02-1/JXS-02-02-01-1;STEP2-1/JXS-02-02-1/JXS-02-02-02-2,Origin_joint1,基准轴1,joint1,revolute,0,0,0.0633,0,0,0,base_link,0,0,-1,0,0,-6.28,6.28,,,,,,,,
link2,-0.131999999999995,4.71844785465692E-15,0.0283597358633429,0,0,0,0.477993209562466,0.000132893749398952,3.71930780587879E-08,3.69519340442436E-18,0.000434598829500377,1.34090171590558E-19,0.000463250516319811,0,0,0,0,0,0,package://sii_arm/meshes/link2.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://sii_arm/meshes/link2.STL,,STEP2-1/DM_4340__3D20240822_1_2_1__ASM__ASM-2.STEP-1-1;STEP2-1/JXS-02-05-1;STEP2-1/JXS-02-07-2;STEP2-1/JXS02-01-1/JXS-02-01-3;STEP2-1/JXS02-01-1/JXS-02-06-2;STEP2-1/JXS02-01-1/JXS-02-06-1;STEP2-1/JXS02-01-1/JXS-02-01-4;STEP2-1/JXS-02-05-2;STEP2-1/JXS-02-07-1;STEP2-1/DM_4340__3D20240822_1_2_1__ASM__ASM-2.STEP-1-2,Origin_joint2,基准轴2,joint2,revolute,0.019,-0.0275,0.052409,-1.5708,0,0,link1,0,0,1,0,0,-6.28,6.28,,,,,,,,
link3,0.0691164120694006,-0.0517481368067969,0.0320239443295308,0,0,0,0.221616813981987,8.2977561092953E-05,5.67306781151032E-06,-6.81858709315202E-10,0.000335535721506396,2.24716495714001E-09,0.000368685770241735,0,0,0,0,0,0,package://sii_arm/meshes/link3.STL,1,1,1,1,0,0,0,0,0,0,package://sii_arm/meshes/link3.STL,,STEP3-1/JXS-02-02-02-1;STEP3-1/JXS-03-01-1;STEP3-1/JXS-03-03-1;STEP3-1/JXS-03-01-00-1;STEP3-1/JXS-03-02-1;STEP3-1/JXS02-01-1/JXS-02-06-1;STEP3-1/JXS02-01-1/JXS-02-01-3;STEP3-1/JXS02-01-1/JXS-02-06-2;STEP3-1/JXS02-01-1/JXS-02-01-4;STEP4-1/JXS-04-02-1,Origin_joint3,基准轴3,joint3,revolute,-0.264,0,-0.0053,0,0,0,link2,0,0,1,0,0,-6.28,6.28,,,,,,,,
link4,-0.0359499146548394,-0.0298356046367815,-0.0244014167334243,0,0,0,0.268941674638265,7.94008088377001E-05,-2.68989534968233E-08,2.69000796443167E-08,9.26226237856924E-05,1.36979059366666E-07,8.80199287308234E-05,0,0,0,0,0,0,package://sii_arm/meshes/link4.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://sii_arm/meshes/link4.STL,,STEP4-1/DM-J4310-2EC-V1_1__3D_20240822__ASM.STEP-1-2;STEP5-1/JXS-02-02-02-1;STEP5-1/JXS-05-01-2;STEP5-1/JXS-05-02-1;STEP5-1/JXS-05-03-1;STEP5-1/JXS-05-01-1;STEP5-1/DM-J4310-2EC-V1_1__3D_20240822__ASM.STEP-1-2,Origin_joint4,基准轴4,joint4,revolute,0.2235,-0.06025,0.0075,-3.1416,0,3.1416,link3,0,0,-1,0,0,-6.28,6.28,,,,,,,,
link5,0.0143899676824716,-1.28077697342972E-05,0.0055270468665741,0,0,0,0.133793181210822,5.17590155942997E-05,6.84895460214422E-08,2.94401664070318E-10,3.71782837739973E-05,2.71943600596407E-08,3.74998373769998E-05,0,0,0,0,0,0,package://sii_arm/meshes/link5.STL,1,1,1,1,0,0,0,0,0,0,package://sii_arm/meshes/link5.STL,,STEP6-1/JXS-02-02-02-1;STEP6-1/JXS-05-01-1;STEP6-1/JXS-05-03-1;STEP6-1/DM-J4310-2EC-V1_1__3D_20240822__ASM.STEP-1-2,Origin_joint5,基准轴5,joint5,revolute,-0.075,0.0015,-0.027,-1.5708,0,3.1416,link4,0,0,1,0,0,-6.28,6.28,,,,,,,,
link6,0.0144947562777893,3.48836556239608E-05,0.099654862075938,0,0,0,0.333616607133138,0.000169829787171198,-9.54442662622359E-08,-3.24153942640785E-06,0.0002013671229172,-6.84844476948465E-08,0.000256378611780147,0,0,0,0,0,0,package://sii_arm/meshes/link6.STL,0.752941176470588,0.752941176470588,0.752941176470588,1,0,0,0,0,0,0,package://sii_arm/meshes/link6.STL,,GRIP-1/JXS-07-09-1;GRIP-1/JXS-07-08-1;GRIP-1/DM-J4310-2EC-V1_1__3D_20240822__ASM.STEP-1-1;GRIP-1/球拉杆40mm-3;GRIP-1/球拉杆40mm-1;GRIP-1/手持r-1;GRIP-1/手持-l-1;GRIP-1/JXS-07-00-r-1;GRIP-1/JXS-07-06-1;GRIP-1/JXS-07-07-1;GRIP-1/JXS-07-03-1;GRIP-1/JXS-07-05-1;GRIP-1/JXS-07-07-2;GRIP-1/手部手持-1;GRIP-1/JXS-07-00-l-1;GRIP-1/JXS-07-06-2,Origin_joint6,基准轴6,joint6,revolute,0,0,0,0,1.5708,0,link5,0,0,1,0,0,-6.28,6.28,,,,,,,,
